Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,2008-2023,274,265,40,12898,183,57.32,13776,93.62,46,65,15,1211,138
RG Sharma,2008-2023,229,223,31,9529,264,49.63,10529,90.5,30,45,13,877,273
MS Dhoni,2008-2019,244,202,59,7588,139*,53.06,8838,85.85,7,54,5,570,149
S Dhawan,2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5,842,79
SK Raina,2008-2018,190,166,30,5003,116*,36.78,5163,96.9,5,33,12,418,116
G Gambhir,2008-2013,100,96,6,3755,150*,41.72,4224,88.89,7,27,8,391,11
AM Rahane,2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,293,33
V Sehwag,2008-2013,68,67,2,2961,219,45.55,2427,122,7,13,3,404,61
Yuvraj Singh,2008-2017,100,92,14,2926,150,37.51,3251,90,6,17,9,315,69
RA Jadeja,2009-2023,174,118,41,2526,87,32.8,2969,85.07,0,13,6,186,50
SR Tendulkar,2008-2012,46,45,3,2065,200*,49.16,2230,92.6,7,7,0,231,26
KL Rahul,2016-2023,54,52,8,1986,112,45.13,2294,86.57,5,13,2,152,46
AT Rayudu,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,145,30
SS Iyer,2017-2023,42,38,3,1631,113*,46.6,1690,96.5,2,14,0,162,32
HH Pandya,2016-2023,74,55,7,1584,92*,33,1414,112.02,0,9,4,121,60
KD Karthik,2009-2019,68,59,16,1422,79,33.06,1919,74.1,0,7,4,146,13
KM Jadhav,2014-2020,73,52,19,1389,120,42.09,1367,101.6,2,6,2,141,24
Shubman Gill,2019-2023,24,24,4,1311,208,65.55,1224,107.1,4,5,1,149,28
RR Pant,2018-2022,30,26,1,865,125*,34.6,811,106.65,1,5,3,90,26
YK Pathan,2008-2012,57,41,11,810,123*,27,713,113.6,2,3,7,62,43
R Ashwin,2010-2022,113,63,20,707,65,16.44,813,86.96,0,1,6,60,7
PA Patel,2010-2012,24,24,2,604,95,27.45,736,82.06,0,4,1,66,7
MK Pandey,2015-2021,29,24,7,566,104*,33.29,625,90.56,1,2,2,45,5
B Kumar,2012-2022,121,55,16,552,53*,14.15,747,73.89,0,1,8,46,8
Ishan Kishan,2021-2023,14,13,1,510,210,42.5,481,106.02,1,3,0,52,21
SA Yadav,2021-2023,23,21,3,433,64,24.05,424,102.12,0,2,3,45,8
AR Patel,2014-2023,51,31,10,412,64*,19.61,395,104.3,0,2,3,18,21
Harbhajan Singh,2008-2015,65,37,9,351,49,12.53,446,78.69,0,0,7,17,14
M Vijay,2010-2015,17,16,0,339,72,21.18,506,66.99,0,1,0,33,3
SV Samson,2021-2022,11,10,5,330,86*,66,315,104.76,0,2,0,25,15
R Dravid,2009-2011,11,10,0,304,76,30.4,422,72.03,0,2,0,20,2
SN Thakur,2017-2023,35,21,6,298,50*,19.86,271,109.96,0,1,1,29,9
IK Pathan,2008-2012,25,17,4,289,47,22.23,327,88.37,0,0,0,23,5
MK Tiwary,2011-2015,11,11,1,285,104*,28.5,387,73.64,1,1,0,24,3
P Kumar,2008-2012,63,30,12,267,54*,14.83,303,88.11,0,1,2,23,7
Washington Sundar,2017-2023,16,9,1,233,51,29.12,272,85.66,0,1,0,17,6
STR Binny,2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1,23,5
V Shankar,2019-2019,12,8,1,223,46,31.85,246,90.65,0,0,0,20,4
Mohammed Shami,2013-2023,90,43,19,204,25,8.5,239,85.35,0,0,6,15,9
DL Chahar,2018-2022,13,9,3,203,69*,33.83,207,98.06,0,2,1,17,8
PP Shaw,2020-2021,6,6,0,189,49,31.5,166,113.85,0,0,0,32,2
RV Uthappa,2008-2015,11,11,2,185,50,20.55,237,78.05,0,1,1,15,4
Kuldeep Yadav,2017-2023,81,30,16,156,19,11.14,253,61.66,0,0,2,12,0
DJ Hooda,2022-2022,10,7,1,153,33,25.5,189,80.95,0,0,0,10,1
Z Khan,2008-2012,56,21,1,132,24,6.6,257,51.36,0,0,4,11,2
KH Pandya,2021-2021,5,4,2,130,58*,65,128,101.56,0,1,0,11,2
NA Saini,2019-2021,8,5,3,107,45,53.5,137,78.1,0,0,0,9,3
MA Agarwal,2020-2020,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1
R Vinay Kumar,2010-2013,31,13,4,86,27*,9.55,146,58.9,0,0,2,5,2
S Badrinath,2008-2011,7,6,1,79,27*,15.8,172,45.93,0,0,0,4,0
